id	year	state	food_cost	insurance_cost	healthcare_cost	housing_cost	transportation_cost	other_cost	state_tax_rate	pop	fica_tax_rate	federal_income_tax_rate	rate
1075	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	14564.0	0.0765	0.0534	21269.4404718
1077	2014	AL	3035.97176684	1368.0	2528.38639087	5976	3965.86916832	2195.29056463	0.0004	92709.0	0.0765	0.0534	21554.2760718
1079	2014	AL	3035.97176684	1368.0	2528.38639087	6024	3965.86916832	2195.29056463	0.0004	34339.0	0.0765	0.0534	21608.5304718
1081	2014	AL	3035.97176684	1368.0	2528.38639087	6420	3965.86916832	2195.29056463	0.0004	140247.0	0.0765	0.0534	22056.1292718
1083	2014	AL	3035.97176684	1368.0	2528.38639087	6708	3965.86916832	2195.29056463	0.0004	82782.0	0.0765	0.0534	22381.6556718
1085	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	11299.0	0.0765	0.0534	22897.0724718
1087	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	21452.0	0.0765	0.0534	20469.1880718
1089	2014	AL	3035.97176684	1368.0	2528.38639087	6708	3965.86916832	2195.29056463	0.0004	334811.0	0.0765	0.0534	22381.6556718
1091	2014	AL	3035.97176684	1368.0	2528.38639087	5412	3965.86916832	2195.29056463	0.0004	21027.0	0.0765	0.0534	20916.7868718
1093	2014	AL	3035.97176684	1368.0	2528.38639087	5568	3965.86916832	2195.29056463	0.0004	30776.0	0.0765	0.0534	21093.1136718
1095	2014	AL	3035.97176684	1368.0	2528.38639087	5124	3965.86916832	2195.29056463	0.0004	93019.0	0.0765	0.0534	20591.2604718
1097	2014	AL	3035.97176684	1368.0	2528.38639087	7788	3965.86916832	2195.29056463	0.0004	412992.0	0.0765	0.0534	23602.3796718
1099	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	23068.0	0.0765	0.0534	21269.4404718
1101	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	229363.0	0.0765	0.0534	22897.0724718
1103	2014	AL	3035.97176684	1368.0	2528.38639087	6024	3965.86916832	2195.29056463	0.0004	119490.0	0.0765	0.0534	21608.5304718
1105	2014	AL	3035.97176684	1368.0	2528.38639087	5232	3965.86916832	2195.29056463	0.0004	10591.0	0.0765	0.0534	20713.3328718
1107	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	19746.0	0.0765	0.0534	20469.1880718
1109	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	32899.0	0.0765	0.0534	21269.4404718
1111	2014	AL	3035.97176684	1368.0	2528.38639087	5808	3965.86916832	2195.29056463	0.0004	22913.0	0.0765	0.0534	21364.3856718
1113	2014	AL	3035.97176684	1368.0	2528.38639087	7140	3965.86916832	2195.29056463	0.0004	52947.0	0.0765	0.0534	22869.9452718
1115	2014	AL	3035.97176684	1368.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0004	83593.0	0.0765	0.0534	23303.9804718
1117	2014	AL	3035.97176684	1368.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0004	195085.0	0.0765	0.0534	23303.9804718
1119	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	13763.0	0.0765	0.0534	21269.4404718
1121	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	82291.0	0.0765	0.0534	20469.1880718
1123	2014	AL	3035.97176684	1368.0	2528.38639087	5448	3965.86916832	2195.29056463	0.0004	41616.0	0.0765	0.0534	20957.4776718
1125	2014	AL	3035.97176684	1368.0	2528.38639087	7392	3965.86916832	2195.29056463	0.0004	194656.0	0.0765	0.0534	23154.7808718
1127	2014	AL	3035.97176684	1368.0	2528.38639087	5604	3965.86916832	2195.29056463	0.0004	67023.0	0.0765	0.0534	21133.8044718
1129	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	17581.0	0.0765	0.0534	21269.4404718
1131	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	11670.0	0.0765	0.0534	20469.1880718
1133	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	24484.0	0.0765	0.0534	21269.4404718
2013	2014	AK	3264.4857708	1292.0	2528.38639087	7212	3965.86916832	2195.29056463	0.0	3141.0	0.0765	0.0534	23115.5302377
2016	2014	AK	3264.4857708	1292.0	2528.38639087	12732	3965.86916832	2195.29056463	0.0	5561.0	0.0765	0.0534	29352.5782377
2020	2014	AK	3264.4857708	1292.0	2528.38639087	10740	3965.86916832	2195.29056463	0.0	291826.0	0.0765	0.0534	27101.8174377
2050	2014	AK	3264.4857708	1292.0	2528.38639087	10500	3965.86916832	2195.29056463	0.0	17013.0	0.0765	0.0534	26830.6414377
2060	2014	AK	3264.4857708	1292.0	2528.38639087	8964	3965.86916832	2195.29056463	0.0	997.0	0.0765	0.0534	25095.1150377
2068	2014	AK	3264.4857708	1292.0	2528.38639087	6444	3965.86916832	2195.29056463	0.0	1826.0	0.0765	0.0534	22247.7670377
2070	2014	AK	3264.4857708	1292.0	2528.38639087	10440	3965.86916832	2195.29056463	0.0	4847.0	0.0765	0.0534	26762.8474377
2090	2014	AK	3264.4857708	1292.0	2528.38639087	11760	3965.86916832	2195.29056463	0.0	97581.0	0.0765	0.0534	28254.3154377
2100	2014	AK	3264.4857708	1292.0	2528.38639087	7956	3965.86916832	2195.29056463	0.0	2508.0	0.0765	0.0534	23956.1758377
2105	2014	AK	3264.4857708	1292.0	2528.38639087	6468	3965.86916832	2195.29056463	0.0	2150.0	0.0765	0.0534	22274.8846377
2110	2014	AK	3264.4857708	1292.0	2528.38639087	10800	3965.86916832	2195.29056463	0.0	31275.0	0.0765	0.0534	27169.6114377
2122	2014	AK	3264.4857708	1292.0	2528.38639087	7920	3965.86916832	2195.29056463	0.0	55400.0	0.0765	0.0534	23915.4994377
